Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,561,554,1 à 10,0,"62,7 %","63,55","10,87","16,6 %"
CH,010008407,CH DU HAUT BUGEY,M12,9 145,6 075,3 070,243,"45,5 %","48,79","3,29","1,5 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,221,221,0,0,"36,2 %","83,62","19,62","10,4 %"
CH,010780054,CH BOURG EN BRESSE,M12,29 211,19 638,9 573,39 996,"48,6 %","60,27","1,75","1,2 %"
CH,010780062,CH BUGEY SUD,M12,7 242,4 866,2 376,1 208,"48,0 %","56,11","2,95","1,8 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,1 640,1 627,13,0,"39,6 %","81,56","10,19","12,9 %"
CH,010780120,CH DE MEXIMIEUX,M12,198,198,0,0,"31,8 %","84,81","17,88","14,1 %"
CH,010780138,CH DE PONT DE VAUX,M12,209,207,1 à 10,0,"41,1 %","83,53","12,11","13,9 %"
CH,020000022,CH DE GUISE,M12,766,694,72,1 à 10,"46,8 %","74,73","8,60","6,7 %"
CH,020000048,CH GERONTOLOGIQUE,M12,685,680,1 à 10,0,"39,9 %","80,61","14,97","23,2 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,277,271,1 à 10,0,"40,8 %","80,01","12,28","11,2 %"
CH,020000063,CH DE SAINT QUENTIN,M12,36 703,23 325,13 378,46 849,"49,8 %","61,80","1,45","1,2 %"
CH,020000071,CH DE VERVINS,M12,391,389,1 à 10,0,"42,7 %","82,00","15,49","16,1 %"
CH,020000253,CH DE LAON,M12,14 190,9 649,4 541,7 998,"52,0 %","56,53","2,60","1,5 %"
CH,020000261,CH DE SOISSONS,M12,19 204,14 045,5 159,20 680,"47,3 %","60,63","1,99","1,8 %"
CH,020000287,CH DE CHAUNY,M12,7 718,5 372,2 346,2 024,"45,0 %","57,41","3,15","1,8 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,13 798,8 131,5 667,1 020,"47,0 %","52,99","3,34","2,8 %"
CH,020004495,CH BRISSET HIRSON,M12,3 180,1 615,1 565,0,"48,2 %","61,32","4,31","4,1 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,131,131,0,0,"36,6 %","82,02","26,56","20,6 %"
CH,030780092,CH MOULINS YZEURE,M12,17 633,12 757,4 876,23 513,"47,9 %","62,24","2,04","1,2 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,20 086,14 578,5 508,11 962,"50,8 %","59,71","2,99","2,4 %"
CH,030780118,CH VICHY,M12,27 122,16 138,10 984,15 233,"50,1 %","62,20","2,23","1,5 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,90,90,0,0,"42,2 %","81,43","24,94","6,7 %"
CH,040780132,EPS PIERRE GROUES DE BARCELONNETTE,M12,54,51,1 à 10,1 à 10,"42,9 %","78,88","10,70","8,9 %"
CH,040780140,EPS DUCELIA CASTELLANE,M12,41,37,1 à 10,0,"48,8 %","66,54","7,39","4,9 %"
CH,040780215,CHIC DE MANOSQUE LOUIS RAFFALLI,M12,12 104,9 083,3 021,5 009,"45,4 %","58,25","3,07","2,3 %"
CH,040780231,EPS LUMIERE DE RIEZ,M12,134,134,0,0,"38,8 %","83,07","5,92","6,0 %"
CH,040780249,EPS VALLEE DE LA BLANCHE,M12,48,48,0,0,"37,5 %","85,44","12,19","12,5 %"
CH,040788879,CH DIGNE,M12,9 972,5 314,4 658,2 027,"44,9 %","57,85","3,37","2,4 %"
CH,050000108,CH AIGUILLES QUEYRAS,M12,33,33,0,0,"36,4 %","84,21","30,82","3,0 %"
CH,050000116,CH DE BRIANCON,M12,7 543,4 689,2 854,4 711,"56,7 %","58,35","1,59","0,8 %"
CH,050000124,CH D'EMBRUN,M12,1 303,927,376,0,"46,8 %","66,92","5,64","4,5 %"
CH,050002948,CHICAS GAP-SISTERON,M12,20 617,15 561,5 056,14 535,"47,9 %","61,62","2,21","1,7 %"
CLCC,050007533,INSTITUT PAOLI CALMETTES RADIOTH GAP,M12,0,0,0,11 005,"41,8 %","66,76","0,00","0,0 %"
CLCC,060000528,CENTRE ANTOINE LACASSAGNE,M12,9 212,5 856,3 356,51 240,"46,0 %","63,16","0,57","0,5 %"
CH,060006889,HÔPITAUX DE LA VESUBIE,M12,128,125,1 à 10,0,"41,4 %","83,80","11,68","17,2 %"
CH,060780327,CH SAINT MAUR SAINT ETIENNE TINEE,M12,24,23,1 à 10,0,"45,8 %","87,13","10,25","16,7 %"
CH,060780657,CH DE BREIL SUR ROYA,M12,161,158,1 à 10,0,"41,6 %","79,54","13,00","7,5 %"
CH,060780780,CH DU PAYS DE LA ROUDOULE A PUGET,M12,73,72,1 à 10,0,"39,7 %","82,11","16,36","20,5 %"
CH,060780897,CH DE GRASSE,M12,20 406,15 648,4 758,4 273,"39,9 %","51,60","3,23","2,5 %"
CH,060780905,CH ST ELOI DE SOSPEL,M12,250,246,1 à 10,1 à 10,"41,4 %","82,42","12,43","15,5 %"
CH,060780921,CH ST LAZARE DE TENDE,M12,37,35,1 à 10,0,"45,9 %","74,30","12,95","10,8 %"
PSPH/EBNL,060780947,HÔPITAUX PEDIATRIQUES NICE CHU LENVAL,M12,13 018,8 117,4 901,735,"56,7 %","6,87","1,99","0,1 %"
CH,060780954,CH ANTIBES-JUAN LES PINS,M12,21 756,15 826,5 930,3 790,"47,4 %","58,61","3,83","3,8 %"
CH,060780988,CH DE CANNES,M12,27 316,17 951,9 365,10 977,"50,0 %","62,30","2,65","2,3 %"
CHR/U,060785011,CHU DE NICE,M12,83 228,51 807,31 421,46 862,"50,2 %","57,37","2,32","1,7 %"
CH,060791761,CH LA PALMOSA MENTON,M12,7 044,3 312,3 732,26,"46,8 %","64,37","3,43","3,5 %"
PSPH/EBNL,060791811,HÔPITAL PRIVÉ GERIATRIQUE LES SOURCES,M12,2 501,1 678,823,41,"44,6 %","80,32","8,29","7,7 %"
PSPH/EBNL,060794013,CENTRE CARDIO MEDICO CHIRURGICAL TZANCK,M12,4 645,2 858,1 787,0,"70,1 %","70,82","3,01","1,7 %"
PSPH/EBNL,070000096,HÔPITAL DE MOZE,M12,461,325,136,24,"48,2 %","74,18","5,14","3,7 %"
CH,070002878,CH DE PRIVAS ARDECHE,M12,5 633,3 369,2 264,1 313,"55,1 %","66,80","3,19","2,9 %"
CH,070004742,CH DE LARGENTIERE,M12,64,64,0,0,"35,9 %","82,91","13,98","6,3 %"
CH,070005558,CH BOURG SAINT ANDEOL,M12,152,152,0,0,"52,6 %","79,50","17,66","48,7 %"
CH,070005566,CH D'ARDECHE MERIDIONALE,M12,15 540,10 604,4 936,3 928,"49,2 %","59,36","3,12","2,2 %"
CH,070007927,CH DES CEVENNES ARDECHOISES,M12,341,339,1 à 10,1 à 10,"45,2 %","82,94","13,76","7,6 %"
CH,070780119,CH VALLON PONT D'ARC,M12,137,137,0,0,"39,4 %","82,58","12,23","15,3 %"
CH,070780127,CH DE VILLENEUVE DE BERG,M12,213,212,1 à 10,0,"39,9 %","82,84","11,72","13,1 %"
CH,070780150,CH DU CHEYLARD,M12,350,321,29,36,"48,2 %","76,47","7,54","9,1 %"
CH,070780358,CH D'ARDECHE NORD,M12,18 032,10 102,7 930,13 402,"50,0 %","62,81","1,86","1,2 %"
CH,070780366,CH DE LAMASTRE,M12,361,349,12,1 à 10,"41,4 %","73,92","9,64","5,2 %"
CH,070780374,CH DE TOURNON,M12,1 412,1 403,1 à 10,0,"31,2 %","40,46","7,60","5,2 %"
CH,070780382,CH DE SAINT FELICIEN,M12,53,52,1 à 10,1 à 10,"55,2 %","84,69","15,38","5,2 %"
CH,080001969,GROUPEMENT HOSPITALIER SUD ARDENNES,M12,7 498,3 338,4 160,18,"47,9 %","62,83","2,63","2,8 %"
PSPH/EBNL,080010465,GCS TERRIT ARDEN NORD SITE CH SEDAN,M12,485,0,485,0,"40,4 %","43,88","0,00","0,0 %"
PSPH/EBNL,080010473,GCS TERRIT ARDEN NORD SITE CH CHARLEVI,M12,9 295,1 818,7 477,276,"43,8 %","57,19","0,93","1,0 %"
CH,080011174,CHIC NORD ARDENNES,M12,36 023,23 704,12 319,19 455,"50,3 %","57,99","2,73","1,8 %"
CH,090781774,CHIC DU VAL D ARIEGE,M12,20 325,12 069,8 256,11 362,"50,2 %","60,30","2,26","1,9 %"
CH,090781816,CH ARIEGE COUSERANS,M12,5 474,2 886,2 588,536,"47,3 %","63,38","3,47","2,5 %"
CH,100000017,CH DE TROYES,M12,32 677,22 205,10 472,31 019,"47,0 %","59,28","2,30","2,0 %"
CH,100000041,HL BAR SUR AUBE,M12,215,214,1 à 10,0,"38,1 %","82,81","16,03","11,6 %"
CH,100000058,HL BAR S/SEINE,M12,260,257,1 à 10,0,"46,5 %","80,09","15,38","14,2 %"
CH,100006279,GROUPEMENT HOSPITALIER AUBE MARNE,M12,4 772,3 844,928,130,"41,0 %","57,04","5,62","5,7 %"
PSPH/EBNL,100010818,GCS HÔPITAL PRIVÉ DE L'AUBE SITE CLQ,M12,9 832,3 545,6 287,1 773,"48,2 %","53,44","1,00","0,3 %"
CH,110780061,CH CARCASSONNE,M12,27 997,19 792,8 205,34 677,"50,8 %","61,87","1,63","1,1 %"
CH,110780087,CH CASTELNAUDARY,M12,1 878,1 212,666,0,"47,0 %","70,56","4,94","6,6 %"
CH,110780137,CH NARBONNE,M12,20 622,13 675,6 947,1 345,"44,1 %","53,88","3,52","2,9 %"
CH,110780707,HL LIMOUX QUILLAN,M12,630,624,1 à 10,0,"40,3 %","80,89","17,58","9,8 %"
CH,110780772,CH LEZIGNAN-CORBIERES,M12,998,700,298,17,"43,7 %","71,02","7,71","4,2 %"
CH,120004528,CH DE MILLAU,M12,8 245,3 698,4 547,1 225,"47,4 %","57,55","2,01","1,7 %"
CH,120004619,CH EMILE BOREL,M12,3 881,2 094,1 787,191,"46,5 %","62,17","3,31","2,2 %"
CH,120780044,CH RODEZ,M12,29 142,17 607,11 535,34 053,"51,9 %","63,48","1,50","1,0 %"
CH,120780069,CH VILLEFRANCHE-DE-ROUERGUE,M12,10 634,4 818,5 816,2 115,"45,8 %","60,92","2,09","1,6 %"
CH,120780085,CH DECAZEVILLE,M12,2 131,1 208,923,97,"48,7 %","69,71","3,72","4,7 %"
CH,120780093,HÔPITAL ST-GENIEZ- D'OLT,M12,87,85,1 à 10,0,"39,1 %","82,82","19,14","16,1 %"
CH,120780101,HÔPITAL D'ESPALION,M12,63,62,1 à 10,0,"50,8 %","81,21","18,97","41,3 %"
CLCC,130001647,INSTITUT PAOLI - CALMETTES,M12,25 958,15 807,10 151,76 531,"33,1 %","62,57","0,88","0,5 %"
CH,130001928,CH MONTOLIVET,M12,1 356,848,508,0,"41,2 %","81,53","8,61","4,4 %"
CH,130041916,CH DU PAYS D'AIX CHI AIX PERTUIS,M12,45 716,28 349,17 367,21 799,"48,5 %","56,51","2,33","1,4 %"
PSPH/EBNL,130043664,HÔPITAL EUROPEEN DESBIEF AMBROISE PARE,M12,37 839,13 283,24 556,11 028,"49,4 %","56,75","1,64","0,9 %"
PSPH/EBNL,130045263,LA MAISON VILLA IZOI,M12,113,113,0,0,"55,8 %","54,37","41,51","48,7 %"
PSPH/EBNL,130050917,GCS CLINIQUE JEANNE D'ARC,M12,7 278,1 450,5 828,293,"49,9 %","55,60","0,81","0,0 %"
PSPH/EBNL,130781255,CLINIQUE SAINT-THOMAS,M12,1 189,881,308,81,"35,4 %","83,60","9,61","21,1 %"
CH,130781339,CH D'ALLAUCH,M12,2 527,738,1 789,0,"40,6 %","56,85","3,09","1,9 %"
CH,130781446,CH D'AUBAGNE,M12,12 800,8 741,4 059,1 017,"42,4 %","47,72","3,10","2,6 %"
CH,130782634,CH DE SALON,M12,17 874,13 226,4 648,3 276,"43,3 %","52,94","3,33","2,9 %"
PSPH/EBNL,130783152,CLINIQUE SPEC. STE ELISABETH,M12,625,608,17,0,"47,4 %","73,67","12,03","44,8 %"
PSPH/EBNL,130783665,CLINIQUE DE BONNEVEINE,M12,10 084,1 762,8 322,365,"44,9 %","49,77","0,73","0,3 %"
CH,130785512,CH DE LA CIOTAT,M12,9 497,6 431,3 066,118,"37,7 %","49,94","3,06","3,2 %"
PSPH/EBNL,130785652,HÔPITAL SAINT JOSEPH,M12,55 472,34 754,20 718,13 102,"46,1 %","51,72","2,62","1,4 %"
CHR/U,130786049,AP-HM,M12,204 172,112 486,91 686,115 782,"51,3 %","51,37","1,98","1,0 %"
