Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,610,604,1 à 10,0,"62,3 %","60,94","11,36","13,6 %"
CH,010008407,CH DU HAUT BUGEY,M12,9 416,6 080,3 336,345,"45,3 %","49,23","3,03","1,4 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,198,198,0,0,"36,4 %","83,70","18,05","7,1 %"
CH,010780054,CH BOURG EN BRESSE,M12,28 275,18 610,9 665,41 524,"49,5 %","61,03","1,66","1,2 %"
CH,010780062,CH BUGEY SUD,M12,7 553,4 977,2 576,1 292,"49,4 %","56,47","3,24","2,0 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,1 669,1 660,1 à 10,0,"38,5 %","81,45","10,86","12,2 %"
CH,010780120,CH DE MEXIMIEUX,M12,170,169,1 à 10,0,"29,4 %","86,22","15,71","14,1 %"
CH,010780138,CH DE PONT DE VAUX,M12,177,174,1 à 10,0,"48,0 %","84,75","12,76","11,9 %"
CH,020000022,CH DE GUISE,M12,839,644,195,14,"46,3 %","74,12","8,39","6,3 %"
CH,020000048,CH GERONTOLOGIQUE,M12,664,657,1 à 10,0,"37,3 %","81,00","15,53","22,6 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,276,269,1 à 10,0,"49,6 %","80,42","10,40","9,1 %"
CH,020000063,CH DE SAINT QUENTIN,M12,37 001,24 129,12 872,48 257,"50,2 %","62,03","1,48","1,2 %"
CH,020000071,CH DE VERVINS,M12,392,383,1 à 10,0,"42,6 %","81,95","15,22","17,1 %"
CH,020000253,CH DE LAON,M12,15 969,9 644,6 325,8 352,"50,5 %","56,38","2,34","1,5 %"
CH,020000261,CH DE SOISSONS,M12,19 280,14 322,4 958,20 990,"48,3 %","60,05","2,01","1,7 %"
CH,020000287,CH DE CHAUNY,M12,8 018,5 662,2 356,1 846,"46,3 %","58,02","2,99","1,8 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,14 545,8 782,5 763,955,"45,7 %","53,16","3,47","2,2 %"
CH,020004495,CH BRISSET HIRSON,M12,3 555,1 693,1 862,0,"51,0 %","61,27","4,33","3,6 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,120,119,1 à 10,0,"36,7 %","81,38","30,51","14,2 %"
CH,030780092,CH MOULINS YZEURE,M12,19 104,13 032,6 072,13 680,"49,4 %","61,01","2,61","1,5 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,19 368,13 972,5 396,12 246,"49,6 %","60,44","2,95","2,3 %"
CH,030780118,CH VICHY,M12,26 830,15 784,11 046,14 702,"50,0 %","62,49","2,37","1,9 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,113,113,0,0,"38,1 %","83,57","14,05","3,5 %"
CH,040780132,EPS PIERRE GROUES DE BARCELONNETTE,M12,92,88,1 à 10,1 à 10,"35,5 %","80,70","10,30","8,6 %"
CH,040780140,EPS DUCELIA CASTELLANE,M12,65,60,1 à 10,0,"52,3 %","77,48","8,12","9,2 %"
CH,040780215,CHIC DE MANOSQUE LOUIS RAFFALLI,M12,11 303,8 445,2 858,4 907,"46,3 %","58,11","3,26","2,2 %"
CH,040780231,EPS LUMIERE DE RIEZ,M12,139,139,0,0,"36,0 %","83,43","6,20","6,5 %"
