Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,615,614,1 à 10,0,"61,1 %","59,18","11,91","10,6 %"
CH,010008407,CH DU HAUT BUGEY,M12,9 788,6 765,3 023,255,"47,2 %","47,45","3,19","1,4 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,313,311,1 à 10,0,"37,7 %","83,19","17,51","9,3 %"
CH,010780054,CH BOURG EN BRESSE,M12,32 480,23 020,9 460,38 362,"49,1 %","59,57","1,77","1,0 %"
CH,010780062,CH BUGEY SUD,M12,7 178,5 465,1 713,921,"46,5 %","54,99","3,52","2,3 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,2 288,2 271,17,1 à 10,"38,7 %","81,92","8,61","9,4 %"
CH,010780120,CH DE MEXIMIEUX,M12,143,143,0,0,"33,6 %","83,73","13,92","14,7 %"
CH,010780138,CH DE PONT DE VAUX,M12,245,243,1 à 10,0,"47,8 %","85,80","11,39","17,6 %"
CH,020000022,CH DE GUISE,M12,1 222,1 103,119,1 à 10,"45,0 %","75,00","7,47","5,3 %"
CH,020000048,CH GERONTOLOGIQUE,M12,2 545,646,1 899,0,"34,3 %","82,16","3,62","5,9 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,413,411,1 à 10,0,"38,7 %","79,37","9,62","5,1 %"
CH,020000063,CH DE SAINT QUENTIN,M12,34 571,23 117,11 454,44 629,"51,8 %","60,75","1,51","1,0 %"
CH,020000071,CH DE VERVINS,M12,510,503,1 à 10,0,"43,1 %","77,15","12,21","13,5 %"
CH,020000253,CH DE LAON,M12,14 602,11 096,3 506,8 535,"46,5 %","56,75","2,80","1,5 %"
CH,020000261,CH DE SOISSONS,M12,21 570,16 598,4 972,14 154,"48,3 %","57,51","2,42","1,7 %"
CH,020000287,CH DE CHAUNY,M12,11 963,7 711,4 252,1 779,"47,0 %","55,47","3,44","1,3 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,13 055,9 046,4 009,122,"43,9 %","54,35","4,09","2,3 %"
