Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,678,673,1 à 10,0,"65,3 %","59,72","10,61","11,4 %"
CH,010008407,CH DU HAUT BUGEY,M12,9 705,6 706,2 999,97,"45,4 %","47,78","3,23","1,2 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,337,337,0,0,"40,9 %","82,38","17,74","3,9 %"
CH,010780054,CH BOURG EN BRESSE,M12,30 804,21 526,9 278,40 271,"47,8 %","60,04","1,74","1,1 %"
CH,010780062,CH BUGEY SUD,M12,7 189,5 211,1 978,1 018,"45,8 %","55,61","3,28","2,0 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,2 340,2 324,16,1 à 10,"41,9 %","81,56","8,18","10,5 %"
CH,010780120,CH DE MEXIMIEUX,M12,135,133,1 à 10,0,"42,2 %","84,19","13,54","11,9 %"
CH,010780138,CH DE PONT DE VAUX,M12,164,162,1 à 10,0,"48,2 %","85,88","11,65","15,2 %"
CH,020000022,CH DE GUISE,M12,1 031,967,64,1 à 10,"47,0 %","75,22","7,29","4,4 %"
CH,020000048,CH GERONTOLOGIQUE,M12,769,763,1 à 10,0,"35,2 %","81,85","14,06","20,0 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,381,372,1 à 10,0,"39,4 %","79,16","10,80","9,2 %"
CH,020000063,CH DE SAINT QUENTIN,M12,36 743,24 442,12 301,42 844,"50,5 %","61,25","1,58","1,2 %"
CH,020000071,CH DE VERVINS,M12,581,573,1 à 10,0,"41,0 %","77,74","12,70","12,4 %"
CH,020000253,CH DE LAON,M12,13 542,10 120,3 422,8 392,"47,6 %","56,92","2,70","1,6 %"
CH,020000261,CH DE SOISSONS,M12,22 155,15 959,6 196,16 273,"46,3 %","59,52","2,17","1,6 %"
CH,020000287,CH DE CHAUNY,M12,9 910,6 872,3 038,1 761,"45,4 %","58,01","3,65","1,5 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,14 379,9 166,5 213,463,"46,2 %","53,76","3,45","2,2 %"
CH,020004495,CH BRISSET HIRSON,M12,3 657,1 923,1 734,0,"53,4 %","62,22","4,44","3,7 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,136,136,0,0,"39,7 %","83,50","26,25","13,2 %"
CH,030780092,CH MOULINS YZEURE,M12,18 596,14 019,4 577,22 442,"47,5 %","62,53","2,35","1,4 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,22 193,16 648,5 545,11 061,"50,6 %","59,22","3,06","2,0 %"
CH,030780118,CH VICHY,M12,28 920,18 370,10 550,13 778,"51,6 %","61,04","2,45","1,5 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,96,96,0,0,"38,5 %","83,51","25,26","3,1 %"
CH,040780132,EPS PIERRE GROUES DE BARCELONNETTE,M12,112,108,1 à 10,0,"39,3 %","80,27","11,01","10,7 %"
CH,040780140,EPS DUCELIA CASTELLANE,M12,67,58,1 à 10,0,"47,8 %","72,85","8,60","3,0 %"
CH,040780215,CHIC DE MANOSQUE LOUIS RAFFALLI,M12,13 857,10 349,3 508,4 753,"45,6 %","58,42","3,03","2,0 %"
CH,040780231,EPS LUMIERE DE RIEZ,M12,146,146,0,0,"34,9 %","80,05","5,51","3,4 %"
CH,040780249,EPS VALLEE DE LA BLANCHE,M12,67,66,1 à 10,0,"32,8 %","85,39","12,46","13,4 %"
CH,040788879,CH DIGNE,M12,10 463,6 275,4 188,1 749,"43,5 %","58,86","3,83","1,9 %"
CH,050000108,CH AIGUILLES QUEYRAS,M12,64,63,1 à 10,0,"59,4 %","79,47","17,42","6,3 %"
CH,050000116,CH DE BRIANCON,M12,8 723,5 039,3 684,4 734,"54,9 %","57,77","1,66","0,7 %"
CH,050000124,CH D'EMBRUN,M12,1 241,1 055,186,1 à 10,"50,1 %","71,45","6,55","5,0 %"
CH,050002948,CHICAS GAP-SISTERON,M12,22 474,17 343,5 131,13 255,"48,3 %","60,41","2,44","1,6 %"
CH,050007145,CH BUECH DURANCE,M12,60,60,0,0,"35,0 %","78,53","24,63","1,7 %"
CLCC,050007533,INSTITUT PAOLI CALMETTES RADIOTH GAP,M12,0,0,0,9 462,"50,1 %","66,78","0,00","0,0 %"
CLCC,060000528,CENTRE ANTOINE LACASSAGNE,M12,9 030,6 418,2 612,57 982,"43,4 %","63,86","0,53","0,5 %"
