Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,447,446,1 à 10,0,"70,0 %","52,14","10,63","7,2 %"
CH,010008407,CH DU HAUT BUGEY,M12,10 546,7 346,3 200,174,"45,7 %","46,85","3,05","1,2 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,325,323,1 à 10,0,"39,1 %","81,20","17,58","6,5 %"
CH,010780054,CH BOURG EN BRESSE,M12,32 466,22 862,9 604,34 957,"48,3 %","58,81","1,92","1,1 %"
CH,010780062,CH BUGEY SUD,M12,6 928,5 377,1 551,769,"47,1 %","52,82","3,71","2,2 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,2 103,2 090,13,1 à 10,"42,4 %","82,13","9,32","11,3 %"
CH,010780120,CH DE MEXIMIEUX,M12,108,106,1 à 10,0,"38,0 %","82,25","11,41","19,4 %"
CH,010780138,CH DE PONT DE VAUX,M12,302,299,1 à 10,0,"45,4 %","83,83","11,74","14,2 %"
CH,020000022,CH DE GUISE,M12,1 071,865,206,0,"44,2 %","73,32","8,51","5,2 %"
CH,020000048,CH GERONTOLOGIQUE,M12,2 573,644,1 929,0,"32,1 %","80,99","3,96","5,7 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,416,409,1 à 10,0,"35,3 %","78,97","10,37","9,4 %"
CH,020000063,CH DE SAINT QUENTIN,M12,34 153,23 460,10 693,44 208,"49,2 %","60,26","1,67","1,0 %"
CH,020000071,CH DE VERVINS,M12,580,575,1 à 10,0,"43,1 %","74,09","12,60","6,9 %"
CH,020000253,CH DE LAON,M12,14 840,11 507,3 333,7 873,"46,9 %","55,19","2,99","1,7 %"
CH,020000261,CH DE SOISSONS,M12,20 868,16 807,4 061,14 494,"49,8 %","57,18","2,60","1,8 %"
CH,020000287,CH DE CHAUNY,M12,12 150,7 621,4 529,1 418,"45,7 %","53,72","3,62","1,6 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,12 434,9 015,3 419,82,"42,8 %","52,42","4,49","2,3 %"
CH,020004495,CH BRISSET HIRSON,M12,3 083,2 070,1 013,0,"49,9 %","60,35","5,54","4,7 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,170,162,1 à 10,0,"39,4 %","84,06","18,64","4,1 %"
CH,030780092,CH MOULINS YZEURE,M12,19 573,16 293,3 280,20 191,"49,0 %","60,61","2,68","1,5 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,20 540,16 389,4 151,9 806,"48,9 %","57,80","3,33","2,2 %"
CH,030780118,CH VICHY,M12,27 647,19 275,8 372,13 361,"49,2 %","59,89","2,58","1,6 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,106,106,0,0,"31,1 %","83,44","19,88","7,5 %"
CH,040780132,EPS PIERRE GROUES DE BARCELONNETTE,M12,126,121,1 à 10,0,"34,1 %","81,64","10,64","8,7 %"
CH,040780140,EPS DUCELIA CASTELLANE,M12,64,60,1 à 10,0,"46,9 %","71,69","8,95","4,7 %"
CH,040780215,CHIC DE MANOSQUE LOUIS RAFFALLI,M12,13 329,10 502,2 827,4 732,"44,5 %","56,44","3,12","1,7 %"
CH,040780231,EPS LUMIERE DE RIEZ,M12,248,242,1 à 10,0,"39,1 %","79,92","4,53","4,0 %"
CH,040780249,EPS VALLEE DE LA BLANCHE,M12,62,62,0,0,"40,3 %","83,95","13,27","9,7 %"
CH,040788879,CH DIGNE,M12,11 301,6 936,4 365,1 556,"44,1 %","55,85","3,90","2,0 %"
CH,050000108,CH AIGUILLES QUEYRAS,M12,41,41,0,0,"51,2 %","78,07","31,05","9,8 %"
CH,050000116,CH DE BRIANCON,M12,7 538,5 171,2 367,3 529,"56,3 %","55,01","2,13","0,9 %"
CH,050000124,CH D'EMBRUN,M12,1 120,1 012,108,1 à 10,"49,2 %","70,74","7,26","4,7 %"
CH,050002948,CHICAS GAP-SISTERON,M12,21 822,17 478,4 344,12 585,"49,8 %","58,59","2,77","1,6 %"
CH,050007145,CH BUECH DURANCE,M12,53,53,0,0,"32,1 %","81,28","23,00","1,9 %"
CLCC,050007533,INSTITUT PAOLI CALMETTES RADIOTH GAP,M12,0,0,0,9 530,"39,5 %","64,40","0,00","0,0 %"
CLCC,060000528,CENTRE ANTOINE LACASSAGNE,M12,8 353,5 941,2 412,50 696,"42,4 %","63,01","0,58","0,5 %"
CH,060006889,HÔPITAUX DE LA VESUBIE,M12,114,112,1 à 10,0,"33,3 %","85,14","16,39","19,3 %"
CH,060780327,CH SAINT MAUR SAINT ETIENNE TINEE,M12,56,54,1 à 10,0,"48,2 %","81,21","7,93","14,3 %"
CH,060780657,CH DE BREIL SUR ROYA,M12,112,112,0,0,"37,5 %","80,15","10,19","2,7 %"
CH,060780780,CH DU PAYS DE LA ROUDOULE A PUGET,M12,82,78,1 à 10,0,"36,6 %","81,68","15,63","13,4 %"
CH,060780897,CH DE GRASSE,M12,19 331,15 620,3 711,2 453,"40,5 %","49,86","3,70","2,3 %"
CH,060780905,CH ST ELOI DE SOSPEL,M12,234,223,11,0,"39,7 %","81,21","13,89","15,0 %"
CH,060780921,CH ST LAZARE DE TENDE,M12,67,67,0,0,"46,3 %","74,13","14,84","6,0 %"
