Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,547,543,1 à 10,0,"60,0 %","62,80","11,57","15,5 %"
CH,010008407,CH DU HAUT BUGEY,M12,8 483,6 093,2 390,188,"46,3 %","49,11","3,67","2,2 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,341,340,1 à 10,0,"37,2 %","84,38","17,26","11,1 %"
CH,010780054,CH BOURG EN BRESSE,M12,26 111,19 208,6 903,40 071,"48,3 %","60,74","1,70","1,2 %"
CH,010780062,CH BUGEY SUD,M12,6 283,4 511,1 772,1 000,"46,8 %","56,02","3,48","2,4 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,2 005,1 993,12,1 à 10,"42,1 %","81,51","8,92","9,9 %"
CH,010780120,CH DE MEXIMIEUX,M12,155,154,1 à 10,0,"32,9 %","85,49","15,57","23,9 %"
CH,010780138,CH DE PONT DE VAUX,M12,192,188,1 à 10,0,"51,0 %","84,14","12,08","16,1 %"
CH,020000022,CH DE GUISE,M12,819,773,46,1 à 10,"49,4 %","75,26","7,55","4,5 %"
CH,020000048,CH GERONTOLOGIQUE,M12,610,604,1 à 10,0,"39,3 %","82,05","16,09","22,8 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,270,265,1 à 10,0,"43,0 %","79,65","12,51","12,6 %"
CH,020000063,CH DE SAINT QUENTIN,M12,33 328,22 346,10 982,44 395,"49,8 %","62,18","1,50","1,3 %"
CH,020000071,CH DE VERVINS,M12,438,435,1 à 10,0,"35,8 %","81,22","15,14","12,6 %"
CH,020000253,CH DE LAON,M12,12 157,8 760,3 397,8 145,"49,4 %","57,58","2,66","1,8 %"
CH,020000261,CH DE SOISSONS,M12,18 841,13 911,4 930,19 111,"47,9 %","61,10","2,07","1,7 %"
CH,020000287,CH DE CHAUNY,M12,8 565,5 789,2 776,1 874,"46,3 %","57,73","3,18","2,0 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,12 480,7 859,4 621,595,"46,5 %","53,18","3,62","2,8 %"
CH,020004495,CH BRISSET HIRSON,M12,3 147,1 673,1 474,0,"49,6 %","61,90","4,52","5,2 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,136,136,0,0,"34,6 %","81,73","25,61","11,8 %"
CH,030780092,CH MOULINS YZEURE,M12,16 690,12 092,4 598,20 437,"47,4 %","62,80","2,21","1,5 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,19 105,14 271,4 834,11 800,"51,8 %","60,21","2,96","2,3 %"
CH,030780118,CH VICHY,M12,24 875,15 688,9 187,14 840,"49,3 %","62,16","2,37","1,7 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,81,80,1 à 10,0,"34,6 %","83,31","24,09","6,2 %"
CH,040780132,EPS PIERRE GROUES DE BARCELONNETTE,M12,91,84,1 à 10,0,"52,7 %","79,45","10,95","12,1 %"
CH,040780140,EPS DUCELIA CASTELLANE,M12,74,64,1 à 10,0,"43,2 %","73,53","6,86","5,4 %"
CH,040780215,CHIC DE MANOSQUE LOUIS RAFFALLI,M12,12 297,9 266,3 031,5 258,"44,4 %","59,05","2,97","2,0 %"
CH,040780231,EPS LUMIERE DE RIEZ,M12,113,113,0,0,"33,6 %","80,63","6,19","4,4 %"
CH,040780249,EPS VALLEE DE LA BLANCHE,M12,57,57,0,0,"29,8 %","87,14","10,68","15,8 %"
CH,040788879,CH DIGNE,M12,8 821,5 412,3 409,1 734,"46,4 %","58,41","4,02","2,2 %"
CH,050000108,CH AIGUILLES QUEYRAS,M12,50,49,1 à 10,0,"50,0 %","80,10","26,06","14,0 %"
CH,050000116,CH DE BRIANCON,M12,7 277,4 557,2 720,4 567,"55,9 %","59,80","1,66","0,8 %"
CH,050000124,CH D'EMBRUN,M12,1 123,913,210,0,"48,6 %","72,84","6,63","5,3 %"
CH,050002948,CHICAS GAP-SISTERON,M12,20 953,16 119,4 834,14 245,"49,6 %","61,91","2,30","1,5 %"
CH,050007145,CH BUECH DURANCE,M12,37,37,0,0,"48,6 %","81,00","28,03","18,9 %"
CLCC,050007533,INSTITUT PAOLI CALMETTES RADIOTH GAP,M12,0,0,0,9 521,"44,7 %","65,97","0,00","0,0 %"
CLCC,060000528,CENTRE ANTOINE LACASSAGNE,M12,8 942,6 059,2 883,54 578,"45,5 %","63,16","0,54","0,5 %"
CH,060006889,HÔPITAUX DE LA VESUBIE,M12,139,136,1 à 10,0,"44,6 %","83,19","9,55","5,0 %"
CH,060780327,CH SAINT MAUR SAINT ETIENNE TINEE,M12,39,39,0,0,"38,5 %","86,49","10,69","17,9 %"
CH,060780657,CH DE BREIL SUR ROYA,M12,138,136,1 à 10,0,"42,0 %","80,88","12,37","5,8 %"
CH,060780780,CH DU PAYS DE LA ROUDOULE A PUGET,M12,94,92,1 à 10,0,"42,6 %","80,74","13,65","10,6 %"
CH,060780897,CH DE GRASSE,M12,18 237,14 146,4 091,3 813,"39,7 %","51,05","3,25","2,4 %"
CH,060780905,CH ST ELOI DE SOSPEL,M12,246,239,1 à 10,0,"49,6 %","80,18","13,20","14,6 %"
CH,060780921,CH ST LAZARE DE TENDE,M12,50,50,0,0,"50,0 %","76,50","18,36","8,0 %"
PSPH/EBNL,060780947,HÔPITAUX PEDIATRIQUES NICE CHU LENVAL,M12,11 566,6 897,4 669,800,"56,1 %","7,33","1,82","0,0 %"
CH,060780954,CH ANTIBES-JUAN LES PINS,M12,19 828,15 125,4 703,3 121,"46,6 %","59,07","4,06","3,9 %"
CH,060780988,CH DE CANNES,M12,23 634,16 648,6 986,10 873,"50,8 %","62,14","2,75","2,1 %"
CHR/U,060785011,CHU DE NICE,M12,75 000,49 415,25 585,44 288,"50,9 %","57,38","2,37","1,6 %"
CH,060791761,CH LA PALMOSA MENTON,M12,6 310,3 196,3 114,29,"46,2 %","65,07","3,58","3,2 %"
PSPH/EBNL,060791811,HÔPITAL PRIVÉ GERIATRIQUE LES SOURCES,M12,2 888,2 241,647,85,"44,4 %","81,00","9,10","8,5 %"
PSPH/EBNL,060794013,CENTRE CARDIO MEDICO CHIRURGICAL TZANCK,M12,4 467,3 344,1 123,0,"70,1 %","70,54","3,55","1,5 %"
PSPH/EBNL,070000096,HÔPITAL DE MOZE,M12,496,307,189,42,"44,1 %","73,65","5,38","8,0 %"
CH,070002878,CH DE PRIVAS ARDECHE,M12,4 609,2 976,1 633,1 212,"55,3 %","67,18","3,80","3,9 %"
CH,070004742,CH DE LARGENTIERE,M12,76,76,0,0,"36,8 %","83,92","16,25","9,2 %"
CH,070005558,CH BOURG SAINT ANDEOL,M12,158,157,1 à 10,0,"51,3 %","75,09","17,97","50,6 %"
CH,070005566,CH D'ARDECHE MERIDIONALE,M12,14 367,10 142,4 225,3 612,"49,3 %","58,77","3,15","2,5 %"
CH,070007927,CH DES CEVENNES ARDECHOISES,M12,326,321,1 à 10,0,"45,4 %","81,76","15,13","8,0 %"
CH,070780119,CH VALLON PONT D'ARC,M12,204,202,1 à 10,0,"35,8 %","84,53","12,17","11,8 %"
CH,070780127,CH DE VILLENEUVE DE BERG,M12,450,449,1 à 10,0,"44,7 %","80,81","10,44","13,6 %"
CH,070780150,CH DU CHEYLARD,M12,461,433,28,1 à 10,"51,2 %","76,22","8,98","8,0 %"
CH,070780358,CH D'ARDECHE NORD,M12,15 978,9 362,6 616,14 261,"50,7 %","63,92","1,82","1,3 %"
CH,070780366,CH DE LAMASTRE,M12,375,364,11,0,"44,3 %","75,49","8,87","7,7 %"
CH,070780374,CH DE TOURNON,M12,1 056,1 052,1 à 10,0,"34,8 %","49,88","8,48","7,1 %"
CH,070780382,CH DE SAINT FELICIEN,M12,146,142,1 à 10,28,"42,0 %","81,79","11,27","7,5 %"
CH,080001969,GROUPEMENT HOSPITALIER SUD ARDENNES,M12,7 609,3 811,3 798,22,"50,2 %","63,08","3,36","3,3 %"
PSPH/EBNL,080010465,GCS TERRIT ARDEN NORD SITE CH SEDAN,M12,470,0,470,0,"45,1 %","48,17","0,00","0,0 %"
PSPH/EBNL,080010473,GCS TERRIT ARDEN NORD SITE CH CHARLEVI,M12,7 161,1 541,5 620,295,"43,0 %","56,05","1,03","1,2 %"
CH,080011174,CHIC NORD ARDENNES,M12,33 227,22 725,10 502,18 985,"49,3 %","58,62","2,81","1,8 %"
CH,090781774,CHIC DU VAL D ARIEGE,M12,19 057,11 982,7 075,11 718,"51,3 %","61,39","2,27","2,0 %"
CH,090781816,CH ARIEGE COUSERANS,M12,4 819,2 781,2 038,466,"45,6 %","61,93","3,71","2,6 %"
CH,100000017,CH DE TROYES,M12,31 519,22 713,8 806,31 063,"49,1 %","59,76","2,35","2,0 %"
CH,100000041,HL BAR SUR AUBE,M12,212,206,1 à 10,0,"39,2 %","81,24","17,22","14,6 %"
CH,100000058,HL BAR S/SEINE,M12,237,233,1 à 10,0,"49,8 %","81,35","11,92","11,8 %"
CH,100006279,GROUPEMENT HOSPITALIER AUBE MARNE,M12,4 782,3 800,982,158,"41,7 %","57,62","5,08","6,4 %"
PSPH/EBNL,100010818,GCS HÔPITAL PRIVÉ DE L'AUBE SITE CLQ,M12,10 555,4 647,5 908,1 536,"46,8 %","53,11","1,29","0,3 %"
CH,110780061,CH CARCASSONNE,M12,25 159,18 425,6 734,33 357,"50,3 %","62,49","1,67","1,0 %"
CH,110780087,CH CASTELNAUDARY,M12,1 623,1 176,447,0,"48,3 %","71,61","5,88","8,4 %"
CH,110780137,CH NARBONNE,M12,18 493,12 729,5 764,1 490,"43,9 %","53,28","3,64","2,9 %"
CH,110780707,HL LIMOUX QUILLAN,M12,699,688,11,0,"43,8 %","80,88","15,16","9,0 %"
CH,110780772,CH LEZIGNAN-CORBIERES,M12,919,690,229,1 à 10,"46,8 %","74,45","9,82","5,3 %"
CH,120004528,CH DE MILLAU,M12,6 967,3 626,3 341,822,"44,9 %","56,80","2,30","1,4 %"
CH,120004619,CH EMILE BOREL,M12,3 402,2 035,1 367,85,"45,4 %","62,31","3,71","2,5 %"
CH,120780044,CH RODEZ,M12,26 314,16 653,9 661,32 171,"51,4 %","63,29","1,55","1,1 %"
CH,120780069,CH VILLEFRANCHE-DE-ROUERGUE,M12,10 352,4 842,5 510,1 742,"44,1 %","60,14","2,20","1,7 %"
CH,120780085,CH DECAZEVILLE,M12,1 935,1 237,698,111,"51,8 %","70,99","4,45","4,2 %"
CH,120780093,HÔPITAL ST-GENIEZ- D'OLT,M12,101,99,1 à 10,0,"45,5 %","84,25","16,91","11,9 %"
CH,120780101,HÔPITAL D'ESPALION,M12,83,82,1 à 10,0,"42,2 %","79,89","24,98","33,7 %"
CLCC,130001647,INSTITUT PAOLI - CALMETTES,M12,24 739,15 368,9 371,69 990,"34,6 %","62,25","0,96","0,6 %"
CH,130001928,CH MONTOLIVET,M12,1 460,845,615,1 à 10,"41,7 %","81,40","8,21","7,3 %"
CH,130041916,CH DU PAYS D'AIX CHI AIX PERTUIS,M12,42 490,27 960,14 530,21 166,"48,1 %","57,14","2,43","1,4 %"
PSPH/EBNL,130043664,HÔPITAL EUROPEEN DESBIEF AMBROISE PARE,M12,33 713,13 632,20 081,9 925,"50,1 %","56,81","1,85","1,0 %"
PSPH/EBNL,130045263,LA MAISON VILLA IZOI,M12,111,108,1 à 10,0,"53,2 %","54,33","38,51","45,0 %"
PSPH/EBNL,130050917,GCS CLINIQUE JEANNE D'ARC,M12,3 853,834,3 019,234,"51,7 %","55,85","0,79","0,1 %"
PSPH/EBNL,130781255,CLINIQUE SAINT-THOMAS,M12,1 053,770,283,22,"33,4 %","83,09","9,68","22,3 %"
CH,130781339,CH D'ALLAUCH,M12,2 384,787,1 597,0,"42,6 %","58,66","3,62","2,4 %"
CH,130781446,CH D'AUBAGNE,M12,11 209,8 041,3 168,840,"43,0 %","48,83","3,47","2,7 %"
CH,130782634,CH DE SALON,M12,16 537,12 570,3 967,3 376,"42,4 %","53,45","3,37","2,7 %"
PSPH/EBNL,130783152,CLINIQUE SPEC. STE ELISABETH,M12,419,403,16,0,"51,8 %","72,15","11,06","43,2 %"
PSPH/EBNL,130783665,CLINIQUE DE BONNEVEINE,M12,6 920,1 433,5 487,252,"47,4 %","50,69","0,88","0,4 %"
CH,130785512,CH DE LA CIOTAT,M12,8 559,6 298,2 261,93,"37,9 %","49,73","3,47","2,4 %"
PSPH/EBNL,130785652,HÔPITAL SAINT JOSEPH,M12,48 496,33 872,14 624,12 581,"46,3 %","52,42","2,89","1,5 %"
CHR/U,130786049,AP-HM,M12,193 659,107 791,85 868,108 990,"50,8 %","51,32","2,06","1,0 %"
PSPH/EBNL,130786445,ETOILE MATERNITE CATHOLIQUE,M12,7 089,6 221,868,40,"21,0 %","20,81","3,77","0,1 %"
CH,130786742,HÔPITAL D'INSTRUCTION DES ARMÉES LAVERAN,M12,8 842,6 309,2 533,242,"49,8 %","64,26","3,61","3,8 %"
CH,130789274,CH D'ARLES,M12,12 941,8 486,4 455,2 530,"46,5 %","59,47","3,67","3,2 %"
CH,130789316,CH DE MARTIGUES,M12,20 360,14 163,6 197,19 858,"50,2 %","59,36","1,60","1,0 %"
PSPH/EBNL,130811102,CENTRE DE SOINS PALLIATIFS LA MAISON,M12,365,364,1 à 10,0,"44,4 %","64,23","21,50","62,5 %"
CH,140000035,CH DE LISIEUX,M12,19 232,13 388,5 844,12 294,"48,5 %","55,95","2,34","1,6 %"
CH,140000092,CH AUNAY-BAYEUX - CENTRE HOSPITALIER,M12,12 188,7 169,5 019,1 776,"45,5 %","59,31","2,98","2,3 %"
CHR/U,140000100,CHU COTE DE NACRE CAEN,M12,78 947,50 534,28 413,40 910,"53,1 %","54,34","2,64","1,5 %"
CH,140000118,CH DE FALAISE,M12,6 779,4 412,2 367,48,"53,6 %","55,10","4,33","3,9 %"
CH,140000159,CH DE VIRE,M12,4 154,2 945,1 209,693,"58,9 %","67,25","4,24","3,3 %"
PSPH/EBNL,140000340,FONDATION DE LA MISÉRICORDE HÉROUVILLE SAINT CLAIR,M12,199,191,1 à 10,0,"46,2 %","71,46","18,61","87,9 %"
CLCC,140000555,CLCC FRANÇOIS BACLESSE,M12,9 135,5 252,3 883,70 384,"42,4 %","63,58","0,47","0,5 %"
PSPH/EBNL,140002452,CLINIQUE MISERICORDE- CAEN,M12,6 906,1 478,5 428,70,"36,2 %","63,89","2,20","1,5 %"
CH,140026279,CH DE LA CÔTE FLEURIE,M12,4 403,3 026,1 377,13,"49,8 %","68,62","5,16","4,0 %"
CLCC,140030891,UNITÉ RADIOTHERAPIE EXTERNE CFB,M12,0,0,0,3 609,"42,9 %","49,13","0,00","0,0 %"
CH,150780047,CH DE CONDAT EN FENIERS,M12,119,117,1 à 10,0,"47,1 %","83,42","19,36","6,7 %"
CH,150780088,CH ST-FLOUR,M12,4 241,3 273,968,337,"47,8 %","59,96","5,73","3,6 %"
CH,150780096,CH HENRI MONDOR AURILLAC,M12,17 480,13 036,4 444,5 037,"54,6 %","58,38","3,47","2,3 %"
CH,150780468,CH MAURIAC,M12,1 726,1 517,209,11,"48,6 %","74,78","6,71","5,2 %"
CH,150780500,CH DE MURAT,M12,334,328,1 à 10,0,"45,5 %","78,61","17,43","9,3 %"
CH,160000121,CH DE LA ROCHEFOUCAULD,M12,399,245,154,1 à 10,"42,3 %","80,71","8,21","16,0 %"
CH,160000451,CH ANGOULEME,M12,28 487,20 595,7 892,32 331,"54,8 %","61,85","1,63","1,5 %"
CH,160000485,CH DE CONFOLENS,M12,2 252,1 365,887,0,"48,7 %","69,06","3,22","4,4 %"
CH,160000493,CH DE RUFFEC,M12,2 130,1 426,704,33,"50,0 %","70,01","3,79","5,6 %"
CH,160006037,CH HÔPITAUX DU SUD CHARENTE,M12,2 443,2 034,409,1 à 10,"50,0 %","70,96","5,69","5,1 %"
CH,160014411,HÔPITAUX DE GRAND COGNAC,M12,7 701,5 382,2 319,2 336,"45,9 %","59,27","3,57","3,5 %"
