Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
PRIVÉ,010007300,CLINIQUE AMBULATOIRE CENDANEG,M12,1 913,0,1 913,0,"47,9 %","59,49","0,00","0,0 %"
PRIVÉ,010780195,CLINIQUE CONVERT BOURG-EN-B.,M12,17 866,8 051,9 815,2 992,"52,2 %","57,50","1,67","0,8 %"
PRIVÉ,010780203,HÔPITAL PRIVÉ D'AMBERIEU,M12,11 032,6 486,4 546,131,"41,9 %","48,33","2,26","1,0 %"
PRIVÉ,010780294,NEPHROCARE CH BELLEY,M12,0,0,0,9 305,"48,3 %","69,15","0,00","0,0 %"
PRIVÉ,020000360,CLINIQUE SAINT CHRISTOPHE,M12,7 330,1 666,5 664,1 à 10,"50,8 %","52,32","0,76","0,0 %"
PRIVÉ,020010047,POLYCLINIQUE ST CLAUDE,M12,15 735,6 830,8 905,2 212,"42,9 %","53,56","1,65","0,6 %"
PRIVÉ,030780548,POLYCLINIQUE PERGOLA - VICHY,M12,7 232,2 689,4 543,71,"48,8 %","60,92","1,32","0,4 %"
PRIVÉ,030781116,CLINIQUE ST-FRANC ST ANT -DESERTINE,M12,16 447,8 202,8 245,6 122,"57,8 %","64,85","2,27","1,2 %"
PRIVÉ,030785430,POLYCLINIQUE ST-ODILON - MOULINS,M12,8 201,3 189,5 012,1 782,"51,2 %","61,24","1,29","0,6 %"
PRIVÉ,040780470,CLINIQUE CHIRURGICALE TOUTES AURES,M12,5 707,766,4 941,0,"47,7 %","60,89","0,56","0,0 %"
PRIVÉ,040784860,CENTRE D'HEMODIALYSE DES ALPES,M12,0,0,0,14 430,"66,8 %","71,10","0,00","0,0 %"
PRIVÉ,050000090,CLINIQUE DES HAUTES-ALPES,M12,11 765,3 569,8 196,411,"50,6 %","56,38","0,90","0,1 %"
PRIVÉ,060010949,AGAHTIR UDM ANTIBES,M12,0,0,0,7 039,"69,9 %","66,94","0,00","0,0 %"
PRIVÉ,060021276,AGAHTIR CENTRE D'HEMODIALYSE,M12,0,0,0,9 362,"49,7 %","74,46","0,00","0,0 %"
PRIVÉ,060021417,HÔPITAL PRIVÉ CANNES OXFORD,M12,15 802,4 231,11 571,131,"46,5 %","58,06","1,03","0,3 %"
PRIVÉ,060022845,UNITÉ DIALYSE MEDICALISEE INST TZANCK,M12,0,0,0,5 991,"57,4 %","69,94","0,00","0,0 %"
PRIVÉ,060780442,CLINIQUE SAINT FRANCOIS,M12,5 362,1 630,3 732,18,"43,4 %","56,18","0,36","0,0 %"
PRIVÉ,060780491,INSTITUT ARNAULT TZANCK,M12,16 268,6 863,9 405,0,"55,6 %","62,16","2,31","0,9 %"
PRIVÉ,060780517,POLYCLINIQUE SAINT-JEAN,M12,23 810,9 532,14 278,6 851,"42,2 %","56,93","1,39","0,8 %"
PRIVÉ,060780590,CLINIQUE DU PALAIS,M12,7 870,2 274,5 596,48,"48,7 %","55,81","0,94","0,1 %"
PRIVÉ,060780665,CLINIQUE LE MERIDIEN,M12,4 533,1 400,3 133,1 à 10,"45,3 %","57,36","1,67","0,9 %"
PRIVÉ,060780699,CLINIQUE MOZART,M12,2 014,12,2 002,0,"28,4 %","50,97","0,01","0,0 %"
PRIVÉ,060780715,CLINIQUE SAINT GEORGE,M12,34 987,17 719,17 268,8 369,"42,6 %","56,36","1,72","0,4 %"
PRIVÉ,060780723,CLINIQUE DU PARC IMPERIAL,M12,15 120,5 708,9 412,4 450,"49,1 %","61,68","0,99","0,4 %"
PRIVÉ,060780756,CLINIQUE SANTA MARIA,M12,13 441,7 085,6 356,12,"28,2 %","36,71","2,00","0,1 %"
PRIVÉ,060781200,CLINIQUE SAINT ANTOINE,M12,11 808,4 736,7 072,121,"42,2 %","61,54","2,08","1,0 %"
PRIVÉ,060785219,CLINIQUE PLEIN CIEL,M12,4 805,4 751,54,8 011,"44,4 %","68,24","2,74","2,2 %"
PRIVÉ,060791860,CENTRE D'HEMODIALYSE A TZANCK,M12,0,0,0,25 464,"64,9 %","71,93","0,00","0,1 %"
PRIVÉ,060792850,A. TZANCK DIALYSE A DOMICILE,M12,0,0,0,99,"100,0 %","56,00","0,00","0,0 %"
PRIVÉ,060792900,A TZANCK AUTODIALYSE MOUGINS,M12,0,0,0,2 812,"58,8 %","60,74","0,00","0,0 %"
PRIVÉ,060792926,CENTRE D'HEMODIALYSE LA RIVIERA ANTIBES,M12,0,0,0,10 773,"60,8 %","73,34","0,00","0,0 %"
PRIVÉ,060800166,HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,M12,15 427,4 417,11 010,119,"52,5 %","57,16","1,29","0,2 %"
PRIVÉ,070780168,CLINIQUE DU VIVARAIS,M12,5 620,1 770,3 850,1 à 10,"47,3 %","57,20","1,12","0,1 %"
PRIVÉ,070780408,CLINIQUE DES CEVENNES,M12,2 958,872,2 086,1 à 10,"50,2 %","55,81","1,02","0,1 %"
PRIVÉ,070780424,CLINIQUE PASTEUR,M12,18 478,11 099,7 379,1 à 10,"43,6 %","51,70","3,00","0,5 %"
PRIVÉ,100000082,CLINIQUE PAYS DE SEINE,M12,4 212,1 125,3 087,0,"47,2 %","57,41","1,01","0,2 %"
PRIVÉ,100000124,POLYCLINIQUE MONTIER LA CELLE,M12,9 192,4 919,4 273,29,"47,4 %","58,98","2,20","0,3 %"
PRIVÉ,100000157,CLINIQUE DES URSULINES,M12,3 739,801,2 938,127,"40,8 %","52,79","0,34","0,0 %"
PRIVÉ,100002351,CLINIQUE DE CHAMPAGNE - TROYES,M12,13 013,5 295,7 718,7 059,"49,3 %","53,58","0,96","0,1 %"
PRIVÉ,110007259,UDM HÔPITAL PRIVÉ DU GRAND NARBONNE,M12,0,0,0,3 499,"65,0 %","64,37","0,00","0,0 %"
PRIVÉ,110780228,HÔPITAL PRIVÉ DU GRAND NARBONNE,M12,19 684,9 238,10 446,18 728,"54,7 %","64,36","1,19","0,7 %"
PRIVÉ,110780483,CLINIQUE MONTREAL,M12,13 667,3 987,9 680,1 664,"48,8 %","61,19","0,95","0,8 %"
PRIVÉ,130008253,CLINIQUE DE VITROLLES,M12,8 994,4 280,4 714,257,"34,5 %","31,96","1,70","0,1 %"
PRIVÉ,130034531,DIAVERUM PROVENCE ARLES,M12,0,0,0,15 952,"57,2 %","71,79","0,00","0,0 %"
PRIVÉ,130037922,HPC RESIDENCE DU PARC,M12,10 927,5 650,5 277,382,"43,0 %","57,12","2,71","0,9 %"
PRIVÉ,130038003,DIALYSAIX - CENTRE D'HÉMODIALYSE D'AIX EN PROVENCE,M12,0,0,0,21 980,"61,1 %","74,71","0,00","0,0 %"
PRIVÉ,130041767,EUROMED CARDIO,M12,2 277,2 133,144,0,"64,4 %","68,47","4,77","0,7 %"
PRIVÉ,130042096,GCS CENTRE CARDIO AXIUM RAMBO,M12,3 158,3 053,105,0,"69,2 %","69,68","2,99","0,5 %"
PRIVÉ,130781289,POLYCLINIQUE DU PARC RAMBOT LA PROVENCALE,M12,7 181,1 825,5 356,8 529,"47,0 %","58,69","0,66","0,5 %"
PRIVÉ,130781370,CLINIQUE JEANNE D'ARC,M12,8 286,2 391,5 895,480,"46,3 %","54,30","1,22","0,0 %"
PRIVÉ,130781479,CLINIQUE LA CASAMANCE,M12,21 018,10 341,10 677,3 941,"48,9 %","57,46","2,48","1,2 %"
PRIVÉ,130781867,CLINIQUE DE LA CIOTAT,M12,6 671,1 161,5 510,3 134,"50,0 %","60,99","0,41","0,1 %"
PRIVÉ,130782071,CLINIQUE DE L'ETANG DE L'OLIVIER,M12,9 678,3 372,6 306,0,"49,9 %","51,09","1,72","0,6 %"
PRIVÉ,130782147,CLINIQUE GENERALE DE MARIGNANE,M12,13 704,6 839,6 865,25,"54,3 %","60,83","3,17","2,1 %"
PRIVÉ,130782162,CLINIQUE DE MARTIGUES,M12,8 538,2 347,6 191,31,"50,1 %","55,58","1,05","0,3 %"
PRIVÉ,130782675,CLINIQUE CHIRURGICALE DU DR VIGNOLI,M12,7 404,1 126,6 278,0,"50,4 %","57,10","0,45","0,0 %"
PRIVÉ,130783327,CLINIQUE BOUCHARD,M12,17 311,8 804,8 507,24 873,"49,2 %","58,91","0,94","0,3 %"
PRIVÉ,130783723,CLINIQUE JUGE,M12,15 115,4 236,10 879,1 à 10,"44,8 %","47,99","0,78","0,0 %"
PRIVÉ,130783772,CLINIQUE MONTICELLI,M12,9 845,2 721,7 124,0,"45,4 %","56,86","0,34","0,0 %"
PRIVÉ,130783962,CLINIQUE WULFRAN PUGET,M12,7 729,912,6 817,58,"44,8 %","66,36","0,40","0,1 %"
PRIVÉ,130784051,POLYCLINIQUE CLAIRVAL,M12,16 452,12 964,3 488,17 059,"58,4 %","63,56","2,54","0,7 %"
PRIVÉ,130784481,DIAVERUM PROVENCE MARSEILLE 8E,M12,0,0,0,53 382,"60,1 %","71,91","0,00","0,0 %"
PRIVÉ,130784713,CLINIQUE BEAUREGARD,M12,22 000,13 332,8 668,6 383,"36,1 %","50,12","2,62","0,9 %"
PRIVÉ,130784903,CLINIQUE MÉDICO-CHIRURGICALE LA PHOCEANNE,M12,4 520,1 520,3 000,0,"39,8 %","66,71","3,16","0,6 %"
PRIVÉ,130785389,CLINIQUE CHANTECLER,M12,9 675,1 787,7 888,0,"53,5 %","54,20","0,64","0,0 %"
PRIVÉ,130785678,CLINIQUE VERT COTEAU,M12,7 481,2 645,4 836,1 998,"50,4 %","59,46","2,93","1,5 %"
PRIVÉ,130786361,POLYCLINIQUE DU PARC RAMBOT,M12,24 574,9 716,14 858,369,"53,1 %","59,69","1,95","0,8 %"
PRIVÉ,130789159,CENTRE CARDIO-VASCULAIRE VALMANT,M12,580,577,1 à 10,0,"42,8 %","81,21","11,34","3,4 %"
PRIVÉ,130809809,CENTRE D'HEMODIALYSE DE PROVENCE,M12,0,0,0,20 322,"56,9 %","74,46","0,00","0,0 %"
PRIVÉ,130810740,CLINIQUE AXIUM,M12,20 253,5 065,15 188,0,"50,2 %","53,23","1,18","0,4 %"
PRIVÉ,140000290,CLINIQUE NOTRE-DAME,M12,6 477,3 151,3 326,88,"44,3 %","57,69","1,92","0,4 %"
PRIVÉ,140016759,POLYCLINIQUE DU PARC,M12,23 304,13 182,10 122,3 727,"39,6 %","49,54","1,94","0,4 %"
PRIVÉ,140017237,CH PRIVÉ ST MARTIN CAEN,M12,36 149,15 769,20 380,14 447,"56,5 %","64,08","1,25","0,2 %"
PRIVÉ,140018730,POLYCLINIQUE DE LISIEUX,M12,6 336,2 255,4 081,0,"52,1 %","58,64","1,07","0,1 %"
PRIVÉ,140026709,POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF,M12,5 717,2 239,3 478,0,"46,2 %","57,07","1,57","0,3 %"
PRIVÉ,150780120,CLINIQUE DU HAUT CANTAL,M12,338,324,14,0,"54,4 %","63,46","2,83","0,9 %"
PRIVÉ,150780732,CENTRE MÉDICO-CHIRURGICAL AURILLAC,M12,11 937,6 142,5 795,15 332,"54,8 %","67,25","1,59","0,8 %"
PRIVÉ,160000170,CLINIQUE SAINT JOSEPH ANGOULEME,M12,9 694,3 326,6 368,0,"49,9 %","57,54","1,22","0,1 %"
PRIVÉ,160000279,CLINIQUE DE COGNAC,M12,6 776,2 306,4 470,1 à 10,"46,8 %","54,82","1,25","0,1 %"
PRIVÉ,160013207,CENTRE CLINICAL,M12,20 728,8 453,12 275,5 316,"45,1 %","54,79","1,32","0,5 %"
PRIVÉ,170780563,ÉTABLISSEMENT DE SOINS PASTEUR - ROYAN,M12,11 628,5 413,6 215,509,"54,0 %","61,31","1,94","0,3 %"
PRIVÉ,170780613,SA CLINIQUE DU MAIL,M12,9 606,5 074,4 532,191,"39,1 %","46,06","1,64","0,1 %"
PRIVÉ,170780621,POLYCLINIQUE SAINT-GEORGES,M12,6 435,1 987,4 448,0,"47,3 %","63,83","1,21","0,2 %"
PRIVÉ,170780647,CLINIQUE RICHELIEU - SAINTES,M12,7 840,1 869,5 971,0,"45,8 %","58,95","0,73","0,1 %"
PRIVÉ,170780662,CLINIQUE DE L'ATLANTIQUE,M12,19 388,3 000,16 388,1 à 10,"45,4 %","59,43","0,40","0,0 %"
PRIVÉ,180000358,CLINIQUE DES GRAINETIERES,M12,5 954,2 218,3 736,778,"50,6 %","60,99","1,50","0,5 %"
PRIVÉ,180004145,HÔPITAL PRIVÉ GUILLAUME DE VARYE,M12,13 107,6 300,6 807,4 985,"46,1 %","56,26","1,74","0,8 %"
PRIVÉ,190000224,CLINIQUE LES CEDRES BRIVE,M12,16 056,7 158,8 898,187,"48,3 %","60,19","2,04","0,3 %"
PRIVÉ,190000257,CLINIQUE SAINT-GERMAIN BRIVE,M12,8 289,4 314,3 975,170,"36,8 %","44,49","1,91","0,1 %"
PRIVÉ,190010553,UNITÉ DE DIALYSE BRIVE,M12,0,0,0,12 920,"71,4 %","65,90","0,00","0,0 %"
PRIVÉ,200200145,POLYCLINIQUE LA RESIDENCE,M12,13 598,5 329,8 269,4 902,"45,6 %","54,49","1,32","0,6 %"
PRIVÉ,210011847,POLYCLINIQUE DU PARC DREVON,M12,11 825,4 018,7 807,4 529,"45,5 %","56,97","1,12","0,9 %"
PRIVÉ,210780110,CLINIQUE SAINTE MARTHE,M12,13 901,6 574,7 327,115,"36,8 %","38,78","1,75","0,0 %"
PRIVÉ,210780136,CLINIQUE MÉDICO-CHIRURGICALE DE CHENOVE,M12,10 938,4 664,6 274,150,"44,3 %","53,49","1,59","0,2 %"
PRIVÉ,210780789,CLINIQUE MUTUALISTE BENIGNE JOLY,M12,11 916,6 350,5 566,16 515,"57,6 %","62,81","0,95","0,4 %"
PRIVÉ,210780979,CLINIQUE DE FONTAINE,M12,14 873,6 643,8 230,28,"58,9 %","58,07","1,63","0,3 %"
PRIVÉ,220000111,POLYCLINIQUE DU TREGOR,M12,7 090,2 286,4 804,1 946,"51,2 %","61,77","1,14","0,2 %"
