Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
PRIVÉ,010007300,CLINIQUE AMBULATOIRE CENDANEG,M12,2 361,0,2 361,0,"46,9 %","63,16","0,00","0,0 %"
PRIVÉ,010780195,CLINIQUE CONVERT BOURG-EN-B.,M12,19 967,8 536,11 431,2 767,"52,7 %","58,24","1,42","0,7 %"
PRIVÉ,010780203,HÔPITAL PRIVÉ D'AMBERIEU,M12,12 296,6 713,5 583,215,"42,6 %","52,31","2,09","0,9 %"
PRIVÉ,010780294,NEPHROCARE CH BELLEY,M12,0,0,0,7 991,"70,8 %","68,16","0,00","0,0 %"
PRIVÉ,020000360,CLINIQUE SAINT CHRISTOPHE,M12,6 882,1 268,5 614,0,"50,5 %","53,54","0,54","0,0 %"
PRIVÉ,020010047,POLYCLINIQUE ST CLAUDE,M12,16 911,7 188,9 723,4 252,"44,1 %","55,81","1,43","0,5 %"
PRIVÉ,030780548,POLYCLINIQUE PERGOLA - VICHY,M12,8 015,2 143,5 872,47,"48,4 %","62,21","0,70","0,2 %"
PRIVÉ,030781116,CLINIQUE ST-FRANC ST ANT -DESERTINE,M12,14 315,6 853,7 462,6 948,"56,8 %","65,40","2,10","1,2 %"
PRIVÉ,030785430,POLYCLINIQUE ST-ODILON - MOULINS,M12,9 394,4 165,5 229,1 083,"50,4 %","62,20","1,35","0,6 %"
PRIVÉ,040780470,CLINIQUE CHIRURGICALE TOUTES AURES,M12,6 126,699,5 427,0,"49,6 %","61,55","0,38","0,0 %"
PRIVÉ,040784860,CENTRE D'HEMODIALYSE DES ALPES,M12,0,0,0,18 261,"65,6 %","72,13","0,00","0,0 %"
PRIVÉ,050000090,CLINIQUE DES HAUTES-ALPES,M12,12 325,2 024,10 301,499,"50,2 %","57,05","0,34","0,0 %"
PRIVÉ,060010949,AGAHTIR UDM ANTIBES,M12,0,0,0,3 149,"67,4 %","70,26","0,00","0,0 %"
PRIVÉ,060021276,AGAHTIR CENTRE D'HEMODIALYSE,M12,0,0,0,9 527,"48,9 %","77,02","0,00","0,0 %"
PRIVÉ,060021417,HÔPITAL PRIVÉ CANNES OXFORD,M12,18 789,3 814,14 975,216,"47,6 %","58,87","0,87","0,3 %"
PRIVÉ,060022845,UNITÉ DIALYSE MEDICALISEE INST TZANCK,M12,0,0,0,8 340,"61,5 %","69,83","0,00","0,0 %"
PRIVÉ,060780442,CLINIQUE SAINT FRANCOIS,M12,6 130,1 616,4 514,0,"40,4 %","56,10","0,31","0,0 %"
PRIVÉ,060780491,INSTITUT ARNAULT TZANCK,M12,17 455,7 119,10 336,0,"55,7 %","62,37","2,07","0,7 %"
PRIVÉ,060780517,POLYCLINIQUE SAINT-JEAN,M12,27 263,9 898,17 365,8 560,"44,3 %","58,51","1,21","0,6 %"
PRIVÉ,060780590,CLINIQUE DU PALAIS,M12,8 357,1 880,6 477,373,"48,1 %","56,78","0,67","0,1 %"
PRIVÉ,060780665,CLINIQUE LE MERIDIEN,M7,2 040,239,1 801,0,"48,0 %","54,23","0,66","0,0 %"
PRIVÉ,060780699,CLINIQUE MOZART,M12,1 997,1 à 10,1 996,0,"29,7 %","56,21","0,00","0,0 %"
PRIVÉ,060780715,CLINIQUE SAINT GEORGE,M12,36 784,17 010,19 774,8 802,"43,8 %","56,81","1,54","0,5 %"
PRIVÉ,060780723,CLINIQUE DU PARC IMPERIAL,M12,14 569,4 333,10 236,4 230,"47,3 %","61,18","0,78","0,4 %"
PRIVÉ,060780756,CLINIQUE SANTA MARIA,M12,14 264,6 548,7 716,67,"28,4 %","40,43","1,61","0,1 %"
PRIVÉ,060781200,CLINIQUE SAINT ANTOINE,M12,11 003,4 223,6 780,74,"42,6 %","61,38","2,08","0,9 %"
PRIVÉ,060785219,CLINIQUE PLEIN CIEL,M12,4 773,4 645,128,8 185,"43,6 %","68,20","2,46","2,0 %"
PRIVÉ,060791860,CENTRE D'HEMODIALYSE A TZANCK,M12,0,0,0,25 743,"63,0 %","70,48","0,00","0,1 %"
PRIVÉ,060792900,A TZANCK AUTODIALYSE MOUGINS,M12,0,0,0,3 164,"64,1 %","65,33","0,00","0,0 %"
PRIVÉ,060792926,CENTRE D'HEMODIALYSE LA RIVIERA ANTIBES,M12,0,0,0,9 157,"63,0 %","72,39","0,00","0,0 %"
PRIVÉ,060800166,HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,M12,16 719,4 476,12 243,214,"51,4 %","58,47","1,16","0,1 %"
PRIVÉ,070780168,CLINIQUE DU VIVARAIS,M12,5 993,1 347,4 646,11,"45,6 %","62,25","0,73","0,1 %"
PRIVÉ,070780408,CLINIQUE DES CEVENNES,M9,2 103,362,1 741,1 à 10,"50,3 %","55,39","0,39","0,0 %"
PRIVÉ,070780424,CLINIQUE PASTEUR,M12,18 366,9 188,9 178,1 à 10,"44,6 %","52,20","2,44","0,5 %"
PRIVÉ,100000082,CLINIQUE PAYS DE SEINE,M12,3 805,1 032,2 773,0,"44,4 %","57,67","0,86","0,1 %"
PRIVÉ,100000124,POLYCLINIQUE MONTIER LA CELLE,M12,8 635,4 254,4 381,394,"49,8 %","59,80","1,67","0,1 %"
PRIVÉ,100000157,CLINIQUE DES URSULINES,M12,5 011,635,4 376,49,"42,7 %","53,64","0,21","0,0 %"
PRIVÉ,100002351,CLINIQUE DE CHAMPAGNE - TROYES,M7,6 816,2 751,4 065,4 077,"48,5 %","55,42","0,87","0,2 %"
PRIVÉ,110004413,AIDER UAD NARBONNE,M12,0,0,0,2 235,"74,2 %","65,50","0,00","0,0 %"
