Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
PRIVÉ,010007300,CLINIQUE AMBULATOIRE CENDANEG,M12,2 273,0,2 273,0,"46,1 %","63,11","0,00","0,0 %"
PRIVÉ,010780195,CLINIQUE CONVERT BOURG-EN-B.,M12,18 345,6 452,11 893,3 583,"52,5 %","59,13","1,09","0,7 %"
PRIVÉ,010780203,HÔPITAL PRIVÉ D'AMBERIEU,M12,15 531,6 525,9 006,320,"44,8 %","52,31","1,50","0,9 %"
PRIVÉ,010780294,NEPHROCARE CH BELLEY,M12,0,0,0,9 108,"63,9 %","68,40","0,00","0,0 %"
PRIVÉ,020000360,CLINIQUE SAINT CHRISTOPHE,M12,6 331,968,5 363,0,"49,4 %","55,31","0,40","0,0 %"
PRIVÉ,020010047,POLYCLINIQUE ST CLAUDE,M12,15 193,4 718,10 475,3 995,"46,5 %","57,33","0,92","0,5 %"
PRIVÉ,030780548,POLYCLINIQUE PERGOLA - VICHY,M12,10 919,3 210,7 709,1 786,"52,7 %","63,31","0,92","0,6 %"
PRIVÉ,030781116,CLINIQUE ST-FRANC ST ANT -DESERTINE,M12,12 778,4 605,8 173,7 117,"58,7 %","66,91","1,47","1,1 %"
PRIVÉ,030785430,POLYCLINIQUE ST-ODILON - MOULINS,M12,12 093,3 949,8 144,1 018,"50,2 %","59,76","0,91","0,5 %"
PRIVÉ,040780470,CLINIQUE CHIRURGICALE TOUTES AURES,M12,5 690,559,5 131,0,"49,6 %","61,82","0,36","0,0 %"
PRIVÉ,040784860,CENTRE D'HEMODIALYSE DES ALPES,M12,0,0,0,18 337,"63,8 %","73,55","0,00","0,0 %"
PRIVÉ,050000090,CLINIQUE DES HAUTES-ALPES,M12,13 527,2 051,11 476,689,"50,8 %","58,91","0,29","0,0 %"
PRIVÉ,060010949,AGAHTIR UDM ANTIBES,M12,0,0,0,10 065,"75,5 %","70,13","0,00","0,0 %"
PRIVÉ,060021276,AGAHTIR CENTRE D'HEMODIALYSE,M12,0,0,0,9 370,"59,3 %","75,59","0,00","0,0 %"
PRIVÉ,060021417,HÔPITAL PRIVÉ CANNES OXFORD,M12,20 234,3 056,17 178,148,"47,0 %","57,24","0,55","0,1 %"
PRIVÉ,060780442,CLINIQUE SAINT FRANCOIS,M12,5 798,1 570,4 228,0,"38,5 %","57,88","0,31","0,0 %"
PRIVÉ,060780491,INSTITUT ARNAULT TZANCK,M12,19 332,6 800,12 532,226,"54,3 %","62,21","1,61","0,8 %"
PRIVÉ,060780517,POLYCLINIQUE SAINT-JEAN,M12,28 298,9 106,19 192,11 048,"44,4 %","59,97","1,02","0,6 %"
PRIVÉ,060780590,CLINIQUE DU PALAIS,M12,7 844,2 005,5 839,495,"48,1 %","57,06","0,75","0,1 %"
PRIVÉ,060780715,CLINIQUE SAINT GEORGE,M12,39 815,14 952,24 863,7 726,"47,5 %","57,08","1,18","0,5 %"
PRIVÉ,060780723,CLINIQUE DU PARC IMPERIAL,M12,15 353,3 636,11 717,3 947,"47,7 %","60,20","0,69","0,4 %"
PRIVÉ,060780756,CLINIQUE SANTA MARIA,M12,16 143,8 363,7 780,172,"26,7 %","36,58","1,71","0,1 %"
PRIVÉ,060781200,CLINIQUE SAINT ANTOINE,M12,10 626,3 233,7 393,368,"41,3 %","60,74","1,80","1,3 %"
PRIVÉ,060791860,CENTRE D'HEMODIALYSE A TZANCK,M12,0,0,0,35 615,"64,4 %","71,54","0,00","0,0 %"
PRIVÉ,060792900,A TZANCK AUTODIALYSE MOUGINS,M12,0,0,0,2 495,"69,7 %","67,97","0,00","0,0 %"
PRIVÉ,060792926,CENTRE D'HEMODIALYSE LA RIVIERA ANTIBES,M12,0,0,0,13 184,"68,6 %","72,67","0,00","0,0 %"
PRIVÉ,060800166,HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,M12,20 186,6 218,13 968,9 206,"47,9 %","61,33","1,13","0,7 %"
PRIVÉ,070780168,CLINIQUE DU VIVARAIS,M12,5 262,941,4 321,19,"44,9 %","64,00","0,55","0,1 %"
PRIVÉ,070780424,CLINIQUE PASTEUR,M12,18 073,7 508,10 565,68,"46,1 %","54,20","1,74","0,1 %"
PRIVÉ,100000082,CLINIQUE PAYS DE SEINE,M12,3 752,881,2 871,1 à 10,"46,7 %","58,32","0,67","0,2 %"
PRIVÉ,100000124,POLYCLINIQUE MONTIER LA CELLE,M12,13 559,4 242,9 317,658,"47,1 %","59,99","0,90","0,1 %"
PRIVÉ,110004413,AIDER UAD NARBONNE,M12,0,0,0,3 886,"77,9 %","70,42","0,00","0,0 %"
PRIVÉ,110004421,AIDER UAD LIMOUX,M12,0,0,0,2 897,"45,1 %","70,51","0,00","0,0 %"
PRIVÉ,110004439,AIDER UAD DE TREBES,M12,0,0,0,1 421,"59,7 %","65,28","0,00","0,0 %"
PRIVÉ,110005311,AIDER UAD DE CARCASSONNE,M12,0,0,0,7 142,"75,3 %","66,01","0,00","0,0 %"
PRIVÉ,110007259,UDM HÔPITAL PRIVÉ DU GRAND NARBONNE,M12,0,0,0,4 057,"70,8 %","70,60","0,00","0,0 %"
PRIVÉ,110780228,HÔPITAL PRIVÉ DU GRAND NARBONNE,M12,19 705,6 147,13 558,20 525,"50,3 %","67,46","0,75","0,8 %"
PRIVÉ,110780483,CLINIQUE MONTREAL,M12,16 154,3 988,12 166,2 131,"49,8 %","60,84","0,91","1,0 %"
PRIVÉ,120001748,UNITÉ DIALYSE MEDICALISEE MILLAU,M12,0,0,0,6 702,"71,1 %","73,54","0,00","0,0 %"
PRIVÉ,130008253,CLINIQUE DE VITROLLES,M12,7 910,3 246,4 664,204,"34,9 %","32,41","1,39","0,1 %"
PRIVÉ,130034002,DIAVERUM PROVENCE SALON,M12,0,0,0,10 673,"66,4 %","69,15","0,00","0,0 %"
PRIVÉ,130034044,DIAVERUM PROVENCE MARIGNANE,M12,0,0,0,7 954,"68,9 %","72,64","0,00","0,0 %"
PRIVÉ,130034093,DIAVERUM PROVENCE HE MARSEILLE 3E,M12,0,0,0,8 930,"70,8 %","63,65","0,00","0,0 %"
PRIVÉ,130034531,DIAVERUM PROVENCE ARLES,M12,0,0,0,22 209,"59,5 %","73,51","0,00","0,0 %"
