Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
PRIVÉ,010007300,CLINIQUE AMBULATOIRE CENDANEG,M12,2 131,0,2 131,0,"46,5 %","63,80","0,00","0,0 %"
PRIVÉ,010780195,CLINIQUE CONVERT BOURG-EN-B.,M12,20 969,6 335,14 634,3 619,"50,7 %","59,40","1,03","0,7 %"
PRIVÉ,010780203,HÔPITAL PRIVÉ D'AMBERIEU,M12,16 706,7 155,9 551,273,"47,0 %","53,05","1,47","0,8 %"
PRIVÉ,010780294,NEPHROCARE CH BELLEY,M12,0,0,0,10 242,"62,6 %","67,24","0,00","0,0 %"
PRIVÉ,020000360,CLINIQUE SAINT CHRISTOPHE,M12,5 617,938,4 679,1 à 10,"52,1 %","57,33","0,37","0,0 %"
PRIVÉ,020010047,POLYCLINIQUE ST CLAUDE,M12,15 543,4 802,10 741,3 276,"49,1 %","58,12","0,91","0,5 %"
PRIVÉ,030780548,POLYCLINIQUE PERGOLA - VICHY,M12,11 759,2 930,8 829,2 417,"52,7 %","62,86","0,63","0,3 %"
PRIVÉ,030781116,CLINIQUE ST-FRANC ST ANT -DESERTINE,M12,13 434,4 501,8 933,7 225,"59,6 %","67,60","1,26","0,8 %"
PRIVÉ,030785430,POLYCLINIQUE ST-ODILON - MOULINS,M12,10 362,4 145,6 217,1 188,"50,3 %","63,30","1,04","0,5 %"
PRIVÉ,040003113,AUTODIALYSE CH SISTERON,M12,0,0,0,2 004,"71,2 %","71,64","0,00","0,0 %"
PRIVÉ,040780470,CLINIQUE CHIRURGICALE TOUTES AURES,M12,6 242,521,5 721,1 à 10,"48,7 %","62,09","0,23","0,0 %"
PRIVÉ,040784860,CENTRE D'HEMODIALYSE DES ALPES,M12,0,0,0,18 477,"59,4 %","73,61","0,00","0,0 %"
PRIVÉ,040787541,CHR FAVRY AUTODIALYSE DIGNE,M12,0,0,0,1 307,"64,2 %","67,73","0,00","0,0 %"
PRIVÉ,050000090,CLINIQUE DES HAUTES-ALPES,M12,14 278,2 263,12 015,726,"51,9 %","59,16","0,28","0,0 %"
PRIVÉ,060010949,AGAHTIR UDM ANTIBES,M12,0,0,0,9 629,"71,7 %","71,47","0,00","0,0 %"
PRIVÉ,060021276,AGAHTIR CENTRE D'HEMODIALYSE,M12,0,0,0,8 564,"60,9 %","75,27","0,00","0,0 %"
PRIVÉ,060021417,HÔPITAL PRIVÉ CANNES OXFORD,M12,21 002,3 230,17 772,132,"46,6 %","58,00","0,53","0,1 %"
PRIVÉ,060780442,CLINIQUE SAINT FRANCOIS,M12,6 502,1 482,5 020,1 à 10,"37,9 %","58,63","0,26","0,0 %"
PRIVÉ,060780491,INSTITUT ARNAULT TZANCK,M12,20 977,7 486,13 491,335,"52,5 %","62,52","1,47","0,7 %"
PRIVÉ,060780517,POLYCLINIQUE SAINT-JEAN,M12,34 087,9 553,24 534,12 227,"43,0 %","60,02","0,93","0,5 %"
PRIVÉ,060780590,CLINIQUE DU PALAIS,M12,8 054,1 861,6 193,399,"48,2 %","59,24","0,59","0,0 %"
PRIVÉ,060780715,CLINIQUE SAINT GEORGE,M12,41 656,13 407,28 249,8 450,"48,5 %","58,10","1,05","0,5 %"
PRIVÉ,060780723,CLINIQUE DU PARC IMPERIAL,M12,18 107,3 785,14 322,3 154,"47,4 %","60,11","0,64","0,3 %"
PRIVÉ,060780756,CLINIQUE SANTA MARIA,M12,14 676,7 353,7 323,200,"26,2 %","36,56","1,72","0,0 %"
PRIVÉ,060781200,CLINIQUE SAINT ANTOINE,M12,11 406,3 120,8 286,402,"43,3 %","60,39","1,49","0,4 %"
PRIVÉ,060791860,CENTRE D'HEMODIALYSE A TZANCK,M12,0,0,0,35 496,"67,3 %","70,65","0,00","0,0 %"
PRIVÉ,060792900,A TZANCK AUTODIALYSE MOUGINS,M12,0,0,0,3 107,"68,7 %","72,29","0,00","0,0 %"
PRIVÉ,060792926,CENTRE D'HEMODIALYSE LA RIVIERA ANTIBES,M12,0,0,0,13 374,"63,5 %","71,49","0,00","0,0 %"
PRIVÉ,060800166,HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,M12,23 078,6 476,16 602,10 471,"47,0 %","61,78","0,92","0,5 %"
PRIVÉ,070780168,CLINIQUE DU VIVARAIS,M12,6 959,1 404,5 555,58,"48,9 %","64,12","0,61","0,0 %"
PRIVÉ,070780424,CLINIQUE PASTEUR,M12,16 642,4 944,11 698,42,"48,5 %","56,00","1,17","0,1 %"
