Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
PRIVÉ,010007300,CLINIQUE AMBULATOIRE CENDANEG,M12,2 283,0,2 283,0,"47,0 %","62,42","0,00","0,0 %"
PRIVÉ,010780195,CLINIQUE CONVERT BOURG-EN-B.,M12,19 354,8 410,10 944,3 196,"51,0 %","59,10","1,47","0,8 %"
PRIVÉ,010780203,HÔPITAL PRIVÉ D'AMBERIEU,M12,12 313,6 815,5 498,194,"43,5 %","51,25","2,10","1,0 %"
PRIVÉ,010780294,NEPHROCARE CH BELLEY,M12,0,0,0,8 532,"66,3 %","68,08","0,00","0,0 %"
PRIVÉ,020000360,CLINIQUE SAINT CHRISTOPHE,M12,6 936,1 439,5 497,1 à 10,"51,6 %","52,60","0,61","0,0 %"
PRIVÉ,020010047,POLYCLINIQUE ST CLAUDE,M12,15 790,6 692,9 098,4 422,"43,5 %","55,90","1,47","0,6 %"
PRIVÉ,030780548,POLYCLINIQUE PERGOLA - VICHY,M12,7 609,2 188,5 421,45,"47,0 %","61,50","0,83","0,4 %"
PRIVÉ,030781116,CLINIQUE ST-FRANC ST ANT -DESERTINE,M12,15 881,7 578,8 303,5 947,"56,6 %","64,88","2,12","1,3 %"
PRIVÉ,030785430,POLYCLINIQUE ST-ODILON - MOULINS,M12,9 379,4 194,5 185,1 394,"49,6 %","61,97","1,25","0,6 %"
PRIVÉ,040780470,CLINIQUE CHIRURGICALE TOUTES AURES,M12,6 029,733,5 296,0,"47,2 %","60,47","0,47","0,0 %"
PRIVÉ,040784860,CENTRE D'HEMODIALYSE DES ALPES,M12,0,0,0,16 402,"65,0 %","71,65","0,00","0,0 %"
PRIVÉ,050000090,CLINIQUE DES HAUTES-ALPES,M12,11 750,2 169,9 581,435,"50,2 %","56,81","0,42","0,0 %"
PRIVÉ,060010949,AGAHTIR UDM ANTIBES,M12,0,0,0,9 178,"70,0 %","70,44","0,00","0,0 %"
PRIVÉ,060021276,AGAHTIR CENTRE D'HEMODIALYSE,M12,0,0,0,9 628,"51,9 %","75,66","0,00","0,0 %"
PRIVÉ,060021417,HÔPITAL PRIVÉ CANNES OXFORD,M12,16 702,3 445,13 257,233,"47,3 %","58,57","0,74","0,2 %"
PRIVÉ,060022845,UNITÉ DIALYSE MEDICALISEE INST TZANCK,M12,0,0,0,7 027,"63,7 %","70,71","0,00","0,0 %"
